account_id,customer_id,account_type,currency,account_status,opening_date,last_activity_date,average_monthly_balance_gbp,iban
ACC-UK-000001,CUST-UK-004821,CURRENT,GBP,ACTIVE,2019-03-11,2024-11-13,1240.5,GB29BARC20001538290035
ACC-UK-000002,CUST-UK-007341,CURRENT,GBP,ACTIVE,2017-06-14,2024-11-10,2266.67,GB78BARC93302583010022
ACC-UK-000003,CUST-UK-009102,CURRENT,GBP,ACTIVE,2015-02-28,2024-11-10,4533.33,GB69BARC45745457616837
ACC-UK-000004,CUST-UK-011203,CURRENT,GBP,DORMANT,2017-11-05,2022-04-15,120.0,GB14BARC61892039211190
ACC-UK-000005,CUST-UK-011204,CURRENT,GBP,DORMANT,2017-11-04,2022-05-18,120.0,GB15BARC90456805521545
ACC-UK-000006,CUST-UK-011205,CURRENT,GBP,DORMANT,2017-07-11,2022-03-23,120.0,GB20BARC15506889208363
ACC-UK-000007,CUST-UK-050001,CURRENT,GBP,ACTIVE,2013-07-24,2024-09-06,6385.7,GB16BARC98788953646764
ACC-UK-000008,CUST-UK-050002,CURRENT,GBP,ACTIVE,2010-07-09,2024-10-04,3430.59,GB16BARC49595520571212
ACC-UK-000009,CUST-UK-050003,CURRENT,GBP,ACTIVE,2014-08-03,2024-10-10,4428.65,GB93BARC53406482501436
ACC-UK-000010,CUST-UK-050004,CURRENT,GBP,ACTIVE,2022-04-03,2024-08-14,2532.62,GB54BARC71792068076704
ACC-UK-000011,CUST-UK-050005,SAVINGS,GBP,ACTIVE,2021-10-17,2024-10-09,3006.89,GB79BARC78211731866005
ACC-UK-000012,CUST-UK-050006,CURRENT,GBP,ACTIVE,2012-01-02,2024-08-29,3486.73,GB84BARC75267585969971
ACC-UK-000013,CUST-UK-050007,SAVINGS,GBP,ACTIVE,2016-10-03,2024-10-10,3544.06,GB38BARC35881288189367
ACC-UK-000014,CUST-UK-050008,CURRENT,GBP,ACTIVE,2010-11-06,2024-09-21,5511.41,GB66BARC38385484860094
ACC-UK-000015,CUST-UK-050009,SAVINGS,GBP,ACTIVE,2018-06-22,2024-09-02,5625.0,GB47BARC36708211575640
ACC-UK-000016,CUST-UK-050010,CURRENT,GBP,ACTIVE,2010-11-18,2024-10-06,2740.37,GB48BARC74928248607444
ACC-UK-000017,CUST-UK-050011,CURRENT,GBP,ACTIVE,2013-11-21,2024-08-25,3271.34,GB95BARC28898395331915
ACC-UK-000018,CUST-UK-050012,CURRENT,GBP,ACTIVE,2017-04-24,2024-11-04,6195.99,GB22BARC62850431381043
