customer_id,full_name,date_of_birth,nationality,country_of_residence,customer_type,occupation,employer_name,annual_income_declared_gbp,source_of_funds_declared,onboarding_date,kyc_status,kyc_last_reviewed,kyc_document_type,kyc_document_expiry,pep_flag,sanctions_flag,risk_rating,address,address_country
CUST-UK-004821,James A. Thornton,1982-04-15,GB,GB,INDIVIDUAL,Freelance Consultant,Self-Employed,22000.0,Self-Employment Income,2019-03-11,EXPIRED,2022-06-01,PASSPORT,2023-04-14,False,False,MEDIUM,"47 Moorgate, London EC2R 6HJ",GB
CUST-UK-007341,Sarah L. Thornton,1985-07-22,GB,GB,INDIVIDUAL,Primary School Teacher,Hackney Council,34000.0,Salary,2017-06-14,VERIFIED,2023-06-14,DRIVING_LICENCE,2028-07-22,False,False,LOW,"12 Pembury Road, London E5 8JR",GB
CUST-UK-009102,Mohammed Al-Hassan,1979-11-30,GB,GB,INDIVIDUAL,Software Engineer,Tata Consultancy Services,68000.0,Salary,2015-02-28,VERIFIED,2024-02-28,PASSPORT,2029-11-30,False,False,LOW,"88 Aldgate High Street, London E1 7DN",GB
CUST-UK-011203,Elena Vasquez,1977-11-23,GB,GB,INDIVIDUAL,Armed forces logistics/support/administrative officer,"Nicholls, Harvey and Woodward",28000.0,Salary,2017-11-05,VERIFIED,2022-03-17,PASSPORT,2026-09-28,False,False,MEDIUM,"Studio 95K, Geraldine Cliff, Lake Julianport, L1 4TQ",GB
CUST-UK-011204,David Okafor,1983-04-29,GB,GB,INDIVIDUAL,Transport planner,"Thompson, Briggs and Humphries",45000.0,Salary,2017-11-04,VERIFIED,2023-01-29,PASSPORT,2027-08-06,False,False,MEDIUM,"Studio 83R, Watts Trail, East Ryanmouth, FK13 3UR",GB
CUST-UK-011205,Natasha Kowalczyk,1971-05-22,GB,GB,INDIVIDUAL,"Surveyor, mining","Smith, Jackson and Bartlett",31000.0,Salary,2017-07-11,VERIFIED,2022-04-16,PASSPORT,2029-07-19,False,False,MEDIUM,"Flat 28, Green Causeway, East Teresaburgh, KW9B 6ZT",GB
CUST-UK-050001,Sian Cook-Harris,1988-06-13,NG,GB,INDIVIDUAL,Software Developer,Tech Corp Ltd,65000.0,Salary,2013-07-24,VERIFIED,2023-01-08,DRIVING_LICENCE,2029-03-08,False,False,LOW,"Flat 4, Kathleen Coves, Ruthhaven, L2F 8WA",GB
CUST-UK-050002,Mr Vincent Miller,1987-04-24,PH,GB,INDIVIDUAL,NHS Nurse,NHS Trust,38000.0,Salary,2010-07-09,VERIFIED,2022-04-03,PASSPORT,2029-05-30,False,False,LOW,"Studio 24, Arnold Plains, Lake Graeme, SG57 1JJ",GB
CUST-UK-050003,Hollie Jones-Powell,1996-07-27,PL,GB,INDIVIDUAL,Accountant,Deloitte,55000.0,Salary,2014-08-03,VERIFIED,2023-02-11,DRIVING_LICENCE,2027-09-08,False,False,LOW,"63 Lewis Shoals, Nixonchester, WN01 6PE",GB
CUST-UK-050004,Thomas Morgan,1984-10-19,IE,GB,INDIVIDUAL,Retail Manager,Marks & Spencer,32000.0,Salary,2022-04-03,VERIFIED,2022-08-12,DRIVING_LICENCE,2029-10-08,False,False,LOW,"77 Joanne Circle, South Paul, EX74 8UF",GB
CUST-UK-050005,Simon Barton,1993-10-30,GB,GB,INDIVIDUAL,Civil Servant,HMRC,42000.0,Salary,2021-10-17,VERIFIED,2022-09-13,DRIVING_LICENCE,2032-01-28,False,False,LOW,"361 Rosemary Ranch, New Jonathanchester, PA9V 4HP",GB
CUST-UK-050006,Tina Pritchard,1980-01-22,IN,GB,INDIVIDUAL,Electrician,Self-Employed,48000.0,Salary,2012-01-02,VERIFIED,2022-08-16,DRIVING_LICENCE,2028-12-26,False,False,LOW,"5 Fraser Village, Mollyhaven, M1 4EE",GB
CUST-UK-050007,Phillip Norton,1993-01-20,PL,GB,INDIVIDUAL,University Lecturer,UCL,52000.0,Salary,2016-10-03,VERIFIED,2023-05-18,PASSPORT,2031-06-04,False,False,LOW,"24 Angela Plaza, Mooreville, G8 5YX",GB
CUST-UK-050008,Dr Dylan Morris,1968-08-04,IN,GB,INDIVIDUAL,Marketing Manager,Unilever,58000.0,Salary,2010-11-06,VERIFIED,2024-01-12,PASSPORT,2029-04-24,False,False,LOW,"6 Antony Street, Victoriabury, CW1 0UJ",GB
